
##### Test execution environment.
# GOARCH: amd64
# CPU: 12th Gen Intel(R) Core(TM) i3-12100F
# GOOS: linux
# OS Version: Linux 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64

##### Testing packages.
?   	cmd/internal/pathcache	[no test files]
ok  	cmd/internal/pgo	0.051s
ok  	cmd/internal/pkgpath	0.306s
ok  	cmd/internal/pkgpattern	0.093s
ok  	cmd/internal/quoted	0.027s
?   	cmd/internal/robustio	[no test files]
ok  	cmd/internal/script	0.017s
?   	cmd/internal/script/scripttest	[no test files]
ok  	cmd/internal/src	0.102s
ok  	cmd/internal/sys	0.038s
?   	cmd/internal/telemetry	[no test files]
?   	cmd/internal/telemetry/counter	[no test files]
ok  	cmd/internal/test2json	7.071s
ok  	cmd/link	96.742s
?   	cmd/link/internal/amd64	[no test files]
?   	cmd/link/internal/arm	[no test files]
?   	cmd/link/internal/arm64	[no test files]
ok  	cmd/link/internal/benchmark	0.245s
?   	cmd/link/internal/dwtest	[no test files]
ok  	cmd/link/internal/ld	85.203s
?   	cmd/link/internal/loadelf	[no test files]
ok  	cmd/link/internal/loader	0.293s
?   	cmd/link/internal/loadmacho	[no test files]
?   	cmd/link/internal/loadpe	[no test files]
?   	cmd/link/internal/loadxcoff	[no test files]
?   	cmd/link/internal/loong64	[no test files]
?   	cmd/link/internal/mips	[no test files]
?   	cmd/link/internal/mips64	[no test files]
?   	cmd/link/internal/ppc64	[no test files]
?   	cmd/link/internal/riscv64	[no test files]
?   	cmd/link/internal/s390x	[no test files]
?   	cmd/link/internal/sym	[no test files]
?   	cmd/link/internal/wasm	[no test files]
?   	cmd/link/internal/x86	[no test files]
ok  	cmd/nm	9.369s
ok  	cmd/objdump	19.928s
ok  	cmd/pack	5.595s
ok  	cmd/pprof	6.825s
?   	cmd/preprofile	[no test files]
ok  	cmd/relnote	0.077s
?   	cmd/test2json	[no test files]
ok  	cmd/trace	0.914s
ok  	cmd/vet	69.689s

##### os/user with tag osusergo
ok  	os/user	0.069s

##### crypto with tag purego (build and vet only)
?   	crypto/internal/boring/bbig	[no test files]
?   	crypto/internal/boring/sig	[no test files]
?   	crypto/internal/constanttime	[no test files]
?   	crypto/internal/cryptotest	[no test files]
?   	crypto/internal/entropy	[no test files]
?   	crypto/internal/entropy/v1.0.0	[no test files]
?   	crypto/internal/fips140/alias	[no test files]
